name,position,jerseyNumber,minutesPlayed,rating,captain,goals,goalAssist,expectedGoals,expectedAssists,totalShots,onTargetScoringAttempt,shotOffTarget,blockedScoringAttempt,bigChanceCreated,bigChanceMissed,keyPass,totalCross,accurateCross,totalPass,accuratePass,totalLongBalls,accurateLongBalls,wonTackle,totalTackle,interceptionWon,totalClearance,ballRecovery,aerialWon,aerialLost,duelWon,duelLost,wonContest,challengeLost,touches,possessionLostCtrl,dispossessed,unsuccessfulTouch,fouls,wasFouled,totalOffside,match_id
Yuanming Xiao,G,31,90.0,6.1,,,0.0,,0.00225375,0,,,,,,,,,36.0,21.0,22.0,7.0,,,,4.0,11.0,1.0,,1.0,,,,47.0,15.0,,,,,,15657898
Wang Sihan,D,27,90.0,6.6,,,0.0,,0.00634095,0,,,,,,,,,41.0,31.0,9.0,4.0,,1.0,1.0,10.0,1.0,1.0,1.0,2.0,3.0,,,58.0,12.0,1.0,,,,,15657898
Daciel Santos,D,4,90.0,8.6,,2.0,0.0,0.6673,0.0190903,2,2.0,,,,,,,,19.0,16.0,4.0,2.0,,,2.0,11.0,,1.0,,2.0,2.0,,,40.0,5.0,,1.0,1.0,1.0,,15657898
Su Gao,M,22,90.0,6.4,,,0.0,,0.0022152,0,,,,,,,1.0,,18.0,11.0,6.0,,,,,3.0,2.0,,,,1.0,,,24.0,9.0,,1.0,1.0,,,15657898
Erikys,F,11,90.0,7.2,,,0.0,0.5736,0.0283202,6,3.0,3.0,,,1.0,1.0,1.0,,11.0,6.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,6.0,6.0,1.0,,33.0,11.0,1.0,2.0,,3.0,,15657898
Yujie Zhang,D,2,90.0,7.2,,,0.0,0.0112,0.0027814,1,,1.0,,,,,3.0,,18.0,9.0,6.0,1.0,1.0,2.0,,5.0,3.0,1.0,,4.0,,,,44.0,17.0,,3.0,,1.0,,15657898
Hu Jiajin,M,37,79.0,6.7,,,0.0,0.0523,0.0108492,2,,2.0,,,,1.0,,,16.0,13.0,3.0,2.0,1.0,1.0,,4.0,1.0,1.0,2.0,3.0,4.0,,,27.0,5.0,,,1.0,1.0,,15657898
Li Zhi,D,16,78.0,6.7,,,0.0,,0.00373769,0,,,,,,,3.0,,16.0,9.0,9.0,2.0,1.0,1.0,,6.0,1.0,2.0,,6.0,6.0,1.0,3.0,40.0,14.0,1.0,2.0,1.0,3.0,,15657898
Zhu Jiaxuan,M,6,78.0,7.0,,,1.0,,0.224449,0,,,,1.0,,1.0,,,23.0,16.0,5.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,3.0,,1.0,29.0,9.0,1.0,1.0,,1.0,,15657898
Manuel Palacios,M,7,72.0,7.1,,,0.0,,0.0537733,0,,,,,,1.0,6.0,,18.0,16.0,2.0,2.0,3.0,4.0,1.0,2.0,7.0,,,6.0,5.0,2.0,,43.0,18.0,2.0,5.0,,,,15657898
Fan Bojian,M,18,64.0,6.9,True,,0.0,,0.0232879,0,,,,,,1.0,,,17.0,13.0,2.0,2.0,,,,,1.0,1.0,,1.0,,,,17.0,4.0,,,,,,15657898
Hao Yucheng,D,34,26.0,6.3,,,0.0,,0.00122516,0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,2.0,,2.0,,,,15657898
Po Liang Chen,M,17,18.0,6.2,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,15657898
Yetong Cheng,D,28,12.0,6.8,,,0.0,,0.00162624,0,,,,,,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,3.0,,,,,,,15657898
Zimin Zhang,M,8,12.0,6.4,,,0.0,,7.516e-05,0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,4.0,1.0,,7.0,2.0,,,1.0,,,15657898
Mingxin Zhu,D,3,11.0,6.5,,,0.0,,3.2e-07,0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,2.0,,,15657898
Chen Yang,G,24,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
Jia Du,G,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
Li Jiarong,D,41,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
Jiahao Yan,D,33,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
Bowen Yang,D,45,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
Ruiqi Zhang,F,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
Yuchen Han,F,19,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15657898
